# x_m,y_m,altitude (m)
-245.502147,-151.777809,1536
-250.498352,-151.699059,1536
-255.493841,-151.592865,1535.9
-260.487574,-151.427713,1535.9
-265.478268,-151.181761,1535.8
-270.463882,-150.843771,1535.8
-275.441493,-150.403363,1535.7
-280.407688,-149.848658,1535.7
-285.357902,-149.167218,1535.7
-290.287092,-148.346979,1535.6
-295.18935,-147.377413,1535.6
-300.055145,-146.250676,1535.6
-304.881621,-144.956406,1535.7
-309.64968,-143.457576,1535.7
-314.321961,-141.691998,1535.7
-318.881137,-139.646797,1535.7
-323.312518,-137.339624,1535.7
-327.591665,-134.763093,1535.7
-331.702079,-131.9229,1535.7
-335.640483,-128.848743,1535.6
-339.411967,-125.571888,1535.6
-343.024834,-122.120785,1535.7
-346.489354,-118.520752,1535.7
-349.817339,-114.793952,1535.7
-353.022222,-110.960657,1535.7
-356.119099,-107.039509,1535.8
-359.124279,-103.047559,1535.8
-362.055085,-99.000691,1535.8
-364.929049,-94.913221,1535.9
-367.762473,-90.797428,1536
-370.571034,-86.66457,1536.1
-373.370489,-82.525515,1536.2
-376.176546,-78.390913,1536.3
-379.0048,-74.271458,1536.3
-381.870507,-70.177971,1536.4
-384.788197,-66.121366,1536.5
-387.77217,-62.113284,1536.5
-390.838999,-58.168421,1536.6
-394.010608,-54.307266,1536.6
-397.304054,-50.549346,1536.7
-400.732499,-46.914465,1536.7
-404.312926,-43.429463,1536.8
-408.063451,-40.128369,1536.8
-411.997729,-37.048915,1536.9
-416.12423,-34.232463,1537
-420.444858,-31.724254,1537
-424.953744,-29.573771,1537.1
-429.635186,-27.831186,1537.2
-434.460717,-26.544058,1537.3
-439.391007,-25.750324,1537.5
-444.376187,-25.445079,1537.6
-449.369594,-25.581793,1537.7
-454.336865,-26.114226,1537.9
-459.253831,-26.997179,1538.1
-464.107751,-28.180031,1538.3
-468.881751,-29.654147,1538.4
-473.553109,-31.426438,1538.6
-478.116134,-33.461667,1538.8
-482.578754,-35.708799,1539
-486.949848,-38.129425,1539.2
-491.234969,-40.699415,1539.4
-495.438913,-43.400237,1539.5
-499.56848,-46.213444,1539.7
-503.633637,-49.118858,1539.9
-507.647722,-52.09449,1540.1
-511.61816,-55.128203,1540.3
-515.548296,-58.213979,1540.5
-519.441017,-61.346831,1540.7
-523.29938,-64.521906,1540.9
-527.126589,-67.73447,1541.1
-530.925979,-70.979891,1541.3
-534.701001,-74.253627,1541.5
-538.455205,-77.55122,1541.7
-542.192225,-80.868274,1541.8
-545.915769,-84.200451,1542
-549.629596,-87.543455,1542.2
-553.337507,-90.89302,1542.4
-557.043327,-94.244898,1542.5
-560.750891,-97.594846,1542.7
-564.464027,-100.938615,1542.8
-568.186544,-104.271937,1543
-571.922211,-107.590511,1543.1
-575.674749,-110.889994,1543.3
-579.447804,-114.165991,1543.4
