# x_m,y_m,altitude (m)
-295.112892,228.737567,18.8
-296.867077,233.416461,18.8
-298.824819,238.013937,18.8
-300.977536,242.523444,18.8
-303.316898,246.939022,18.8
-305.835222,251.255093,18.8
-308.519869,255.469913,18.7
-311.34783,259.589862,18.6
-314.290829,263.627971,18.5
-317.328351,267.595417,18.3
-320.458178,271.49097,18.2
-323.685475,275.306377,18
-327.011575,279.035919,17.8
-330.431936,282.679155,17.7
-333.938292,286.2397,17.6
-337.522705,289.721674,17.5
-341.177792,293.129395,17.4
-344.896476,296.467612,17.3
-348.67207,299.741337,17.3
-352.498186,302.95588,17.3
-356.368723,306.116808,17.3
-360.277838,309.22991,17.3
-364.219994,312.301078,17.3
-368.191109,315.334715,17.3
-372.189684,318.332067,17.3
-376.214966,321.29346,17.3
-380.265764,324.219854,17.2
-384.340819,327.112373,17.2
-388.438933,329.972132,17.2
-392.558935,332.800264,17.1
-396.699646,335.59798,17.2
-400.860171,338.36614,17.3
-405.040318,341.10458,17.4
-409.240283,343.812532,17.5
-413.460243,346.489216,17.6
-417.700298,349.133934,17.9
-421.960675,351.74585,18.1
-426.241321,354.324581,18.2
-430.539545,356.874026,18.3
-434.849363,359.40356,18.5
-439.16376,361.924625,18.6
-443.479581,364.443332,18.9
-447.799835,366.955056,19
-452.128973,369.451572,19
-456.469719,371.927716,19
-460.822525,374.382473,18.9
-465.186969,376.81648,18.7
-469.562693,379.230176,18.8
-473.949317,381.623992,19
-478.346486,383.998386,19.2
-482.753823,386.353854,19.3
-487.170906,388.690991,19.5
-491.597308,391.010431,19.6
-496.032611,393.312805,19.8
-500.476405,395.598749,20
-504.928287,397.868901,20.1
-509.387861,400.123903,20.2
-513.854742,402.3644,20.3
-518.328547,404.591037,20.4
-522.808903,406.804464,20.5
-527.295441,409.005332,20.6
-531.7878,411.194294,20.8
-536.285623,413.372008,21
-540.788559,415.539128,21.2
-545.296262,417.696316,21.5
-549.808391,419.844233,21.8
-554.324607,421.98354,22.1
-558.844579,424.114902,22.4
-563.367976,426.238984,22.7
-567.894472,428.356454,23
-572.423744,430.467979,23.4
-576.955472,432.574228,23.8
-581.489338,434.675871,24.3
-586.025025,436.77358,24.8
-590.562221,438.868022,25.2
-595.100602,440.959894,25.3
-599.639807,443.049981,25.4
-604.17945,445.139114,25.5
-608.719149,447.228126,25.6
-613.258523,449.317845,25.6
-617.797187,451.409103,25.7
-622.33476,453.50273,25.7
-626.870856,455.599554,25.8
-631.405089,457.700404,26
-635.937069,459.806107,26.2
-640.466407,461.917489,26.3
-644.992709,464.035372,26.3
-649.51557,466.160596,26.4
-654.034655,468.293817,26.6
-658.549811,470.435404,26.6
-663.060737,472.585662,26.6
-667.561639,474.757572,26.6
-672.020701,477.012988,26.5
-676.393047,479.430339,26.5
-680.629485,482.073577,26.6
-684.591439,485.120057,26.7
-688.096857,488.673648,26.9
-690.946026,492.781012,27.2
-692.751024,497.428037,27.5
-693.227535,502.393758,27.8
-692.75815,507.362366,28.1
-691.627478,512.172838,28.4
-689.912269,516.893874,28.7
-687.746141,521.399499,29
-685.186031,525.698086,29.1
-682.369419,529.823673,29.1
-679.477788,533.89943,29.3
-676.620541,537.999357,29.5
-673.77687,542.10842,29.8
-670.824121,546.141837,30.2
-667.657403,550.007375,30.7
-664.198187,553.619335,31.2
-660.358739,556.794122,31.6
-656.1149,559.44133,32.1
-651.415272,561.072184,32.4
-646.447452,561.498789,32.5
-641.532265,560.66257,32.3
-636.821953,559.012552,31.9
-632.362444,556.779841,31.3
-628.149103,554.07844,30.5
-624.139252,551.100116,29.7
-620.245378,547.965158,28.9
-616.41704,544.7541,28.1
-612.63513,541.487334,27.3
-608.892849,538.175638,26.7
-605.183438,534.827015,26.2
-601.500889,531.448925,25.8
-597.83883,528.048617,25.9
-594.190796,524.633272,26.1
-590.550224,521.209973,26.1
-586.910507,517.785765,26.2
-583.265047,514.367675,26.2
-579.607297,510.96274,26.1
-575.930816,507.578046,25.8
-572.2293,504.220747,25.4
-568.496639,500.898112,24.9
-564.726946,497.617574,24.7
-560.914877,494.386379,24.9
-557.056084,491.21112,24.9
-553.146725,488.098346,24.9
-549.183188,485.054867,24.9
-545.162183,482.087747,24.7
-541.080704,479.20442,24.5
-536.936276,476.41235,24.6
-532.727706,473.717969,24.8
-528.454878,471.126789,24.9
-524.118133,468.644184,25
-519.717838,466.276027,25.2
-515.253306,464.031337,25.4
-510.731379,461.904419,25.8
-506.168002,459.867445,26.2
-501.577773,457.891827,26.5
-496.973648,455.948942,26.7
-492.368421,454.008582,26.8
-487.775099,452.040312,26.4
-483.207332,450.013689,26
-478.679414,447.899532,25.6
-474.20643,445.671654,25.2
-469.80385,443.308443,24.8
-465.487854,440.79038,24.4
-461.268491,438.112739,24.1
-457.148512,435.284718,24
-453.125059,432.321156,23.9
-449.189191,429.242058,23.7
-445.328105,426.069587,23.5
-441.528031,422.824314,23.4
-437.774029,419.525831,23.5
-434.050257,416.193224,23.4
-430.340831,412.844646,23.2
-426.6312,409.496294,22.8
-422.908041,406.163015,22.4
-419.158168,402.859831,22.1
-415.368681,399.602197,22.1
-411.527277,396.406021,22
-407.622217,393.288007,21.7
-403.642196,390.266328,21.4
-399.576767,387.360684,21
-395.417001,384.591892,20.5
-391.155782,381.982054,20.1
-386.788104,379.554743,19.7
-382.311276,377.335202,19.2
-377.72423,375.353633,19.1
-373.030458,373.64074,19.1
-368.247757,372.193778,19
-363.399621,370.98343,19
-358.505005,369.977213,18.9
-353.578365,369.141828,18.9
-348.630219,368.44477,18.9
-343.667785,367.856874,18.7
-338.696332,367.35037,18.4
-333.719651,366.897456,18.1
-328.740625,366.470428,17.9
-323.761749,366.041571,17.6
-318.7854,365.58402,17.4
-313.814287,365.072508,17.3
-308.851922,364.482659,17.1
-303.902887,363.790446,17
-298.973166,362.971937,16.8
-294.070694,362.004593,16.7
-289.204864,360.868372,16.5
-284.38619,359.545889,16.3
-279.623376,358.034026,16.1
-274.920565,356.344776,15.8
-270.280623,354.48963,15.6
-265.707169,352.475947,15.3
-261.203303,350.311174,14.9
-256.769877,348.005548,14.4
-252.405594,345.571468,13.9
