# x_m,y_m,altitude (m)
458.823438,95.138768,215.6
463.599792,93.685323,215.6
468.445115,92.482822,215.5
473.355973,91.573385,215.5
478.300739,90.885806,215.4
483.265968,90.380767,215.4
488.248437,90.061303,215.3
493.239134,89.924371,215.2
498.231548,89.960442,215.2
503.220226,90.157801,215.1
508.200775,90.504677,215
513.169845,90.988983,215
518.125082,91.59902,214.9
523.064892,92.323993,214.8
527.988286,93.153441,214.8
532.894939,94.076951,214.8
537.785118,95.084229,214.7
542.65958,96.165106,214.7
547.519504,97.309634,214.6
552.366363,98.508369,214.6
557.201809,99.752444,214.6
562.027662,101.033242,214.5
566.845905,102.34231,214.4
571.658442,103.672253,214.4
576.466886,105.016982,214.4
581.272849,106.370542,214.3
586.07798,107.727051,214.3
590.883931,109.080652,214.2
595.692338,110.425506,214.2
600.5048,111.755773,214.1
605.322859,113.065605,214.1
610.147991,114.349109,214
614.981574,115.60037,213.9
619.825118,116.812419,213.9
624.681959,117.969703,213.8
629.558567,119.040344,213.7
634.459609,119.992944,213.7
639.3868,120.79922,213.6
644.339302,121.431075,213.5
649.313397,121.859951,213.3
654.301956,122.057054,213.2
659.29386,121.993363,213
664.273571,121.64069,212.9
669.220419,120.971215,212.5
674.106729,119.949055,212.2
678.879467,118.489937,211.9
683.494438,116.585556,211.7
687.920375,114.277722,211.5
692.098145,111.548729,211.3
695.95127,108.378129,211.1
699.393473,104.767193,211
702.340417,100.741731,210.8
704.750288,96.37254,210.7
706.619851,91.74575,210.6
707.958805,86.938209,210.5
708.782861,82.015996,210.5
709.111339,77.035899,210.5
708.964323,72.046979,210.5
708.362847,67.09207,210.5
707.334617,62.207682,210.5
705.911082,57.42336,210.6
704.123737,52.762568,210.6
702.002818,48.243735,210.7
699.576956,43.880915,210.8
696.872345,39.685083,210.9
693.911858,35.665698,210.9
690.719527,31.827859,210.9
687.321133,28.170876,211
683.735134,24.697365,211
679.975919,21.412062,211.1
676.061879,18.312681,211.2
672.013598,15.390804,211.3
667.849489,12.636442,211.4
663.585832,10.038733,211.5
659.237245,7.585755,211.6
654.815778,5.266599,211.7
650.331136,3.071968,211.8
645.791987,0.992309,211.9
641.206189,-0.982403,212.1
636.580793,-2.862223,212.1
631.922486,-4.658891,212.2
627.237845,-6.386052,212.3
622.531061,-8.051989,212.4
617.803408,-9.6577,212.6
613.055282,-11.201781,212.7
608.287074,-12.682632,212.8
603.499631,-14.100081,213
598.694163,-15.455202,213.2
593.871875,-16.7492,213.3
589.033901,-17.98326,213.4
584.181323,-19.158584,213.4
579.315172,-20.276383,213.5
574.43643,-21.337878,213.6
569.546028,-22.344298,213.7
564.644857,-23.296884,213.7
559.733763,-24.196884,213.8
554.813544,-25.045596,213.9
549.885045,-25.844866,214
544.949116,-26.59691,214.1
540.006541,-27.303973,214.2
535.058041,-27.968307,214.2
530.104275,-28.592171,214.3
525.145845,-29.177829,214.4
520.183302,-29.727551,214.4
515.217144,-30.243609,214.5
510.247823,-30.72828,214.6
505.275748,-31.183848,214.7
500.301283,-31.612537,214.7
495.32472,-32.016145,214.8
490.346307,-32.396251,214.9
485.366268,-32.754442,214.9
480.384808,-33.092306,215
475.402111,-33.411435,215.1
470.418346,-33.713424,215.1
465.433663,-33.999866,215.2
460.448197,-34.272361,215.2
455.46207,-34.532506,215.3
450.475394,-34.7819,215.3
445.488269,-35.022146,215.3
440.500785,-35.254843,215.4
435.513027,-35.48158,215.4
430.525067,-35.703827,215.5
425.536957,-35.922679,215.5
420.548728,-36.138814,215.5
415.560404,-36.352758,215.5
410.572009,-36.565019,215.5
405.583564,-36.776106,215.6
400.595093,-36.986565,215.6
395.606619,-37.196944,215.6
390.61815,-37.407465,215.7
385.629689,-37.618155,215.7
380.641232,-37.828947,215.7
375.652777,-38.039799,215.7
370.664324,-38.250706,215.6
365.675874,-38.461668,215.6
360.687426,-38.672685,215.7
355.69898,-38.883756,215.7
350.710537,-39.094882,215.7
345.722096,-39.306061,215.7
340.733657,-39.517293,215.7
335.74522,-39.728578,215.7
330.756786,-39.939916,215.7
325.768354,-40.151307,215.7
320.779924,-40.362749,215.7
315.791496,-40.574243,215.7
310.80307,-40.785789,215.7
305.814647,-40.997386,215.7
300.826226,-41.209033,215.7
295.837807,-41.420731,215.7
290.84939,-41.632479,215.7
285.860975,-41.844277,215.7
280.872562,-42.056125,215.7
275.884151,-42.268021,215.7
270.895743,-42.479967,215.7
265.907336,-42.691961,215.7
260.918932,-42.904003,215.6
255.930529,-43.116093,215.6
250.942129,-43.32823,215.6
245.95373,-43.540415,215.5
240.965334,-43.752647,215.4
235.976939,-43.964925,215.4
230.988547,-44.17725,215.3
226.000156,-44.38962,215.3
221.011768,-44.602036,215.2
216.023381,-44.814497,215.1
211.034996,-45.027004,215
206.046614,-45.239555,215
201.058233,-45.45215,214.9
196.069854,-45.664789,214.8
191.081476,-45.877472,214.8
186.093101,-46.090199,214.7
181.104727,-46.302968,214.6
176.116356,-46.515783,214.5
171.127987,-46.728653,214.5
166.13962,-46.941588,214.4
161.151257,-47.154596,214.3
156.162897,-47.367688,214.2
151.174541,-47.580872,214.1
146.18619,-47.794159,214.1
141.197844,-48.007565,214
136.209504,-48.221122,214
131.221172,-48.43487,213.9
126.23285,-48.648846,213.9
121.244538,-48.863058,213.8
116.256236,-49.077495,213.8
111.267943,-49.292141,213.7
106.279658,-49.50698,213.6
101.291381,-49.721998,213.6
96.303111,-49.937179,213.5
91.314847,-50.152509,213.4
86.326589,-50.367971,213.4
81.338309,-50.582906,213.3
76.349737,-50.789831,213.3
71.359912,-50.959111,213.2
66.367927,-51.042696,213.2
61.37529,-51.000315,213.1
56.386511,-50.798117,213
51.409521,-50.400637,213
46.456714,-49.772311,212.9
41.546061,-48.873472,212.9
36.704037,-47.658654,212.8
31.967825,-46.082256,212.8
27.385672,-44.102403,212.8
23.021528,-41.680969,212.7
18.948357,-38.798672,212.7
15.213317,-35.490268,212.8
11.832386,-31.819375,212.8
8.81464,-27.843687,212.8
6.16427,-23.613959,212.9
3.877334,-19.177015,213
1.933642,-14.579124,213.1
0.305459,-9.86004,213.1
-1.038736,-5.052138,213.2
